Role,Education,Experience,Salary,Role_Encoded,Education_Encoded
HR,Master's,2,824900.0,34,1
HR,PhD,4,1263400.0,34,2
Manager,Bachelor's,20,14473500.0,43,0
Software Engineer,Master's,0,1040600.0,62,1
Software Engineer,Bachelor's,7,1771100.0,62,0
Data Scientist,PhD,7,3537100.0,22,2
Manager,PhD,17,16476400.0,43,2
Analyst,Bachelor's,21,6484400.0,4,0
HR,Bachelor's,13,2188500.0,34,0
Data Scientist,PhD,18,12305100.0,22,2
Data Scientist,Master's,17,8929900.0,22,1
Data Scientist,Master's,29,34770600.0,22,1
Data Scientist,Bachelor's,5,1762900.0,22,0
Software Engineer,PhD,27,27296900.0,62,2
Software Engineer,Bachelor's,28,19097700.0,62,0
Analyst,Master's,23,10573100.0,4,1
Analyst,Bachelor's,1,674900.0,4,0
HR,Master's,12,2534300.0,34,1
Manager,PhD,14,11722200.0,43,2
Software Engineer,PhD,22,15479600.0,62,2
Analyst,Bachelor's,2,760100.0,4,0
Manager,PhD,28,57321700.0,43,2
Manager,PhD,20,23152900.0,43,2
HR,Master's,27,13860000.0,34,1
Software Engineer,Bachelor's,8,1980400.0,62,0
Analyst,Master's,13,3403800.0,4,1
HR,PhD,8,1969400.0,34,2
Data Scientist,Bachelor's,14,4883600.0,22,0
Manager,PhD,15,13137600.0,43,2
HR,Bachelor's,25,8500900.0,34,0
Data Scientist,PhD,13,6981800.0,22,2
Data Scientist,Bachelor's,25,17002900.0,22,0
Manager,PhD,27,51181300.0,43,2
HR,Master's,25,11044200.0,34,1
Software Engineer,PhD,4,2005800.0,62,2
Analyst,Master's,6,1534300.0,4,1
Data Scientist,Master's,11,4518800.0,22,1
Software Engineer,Bachelor's,12,3125200.0,62,0
Manager,Bachelor's,12,5848400.0,43,0
Data Scientist,PhD,3,2259800.0,22,2
Software Engineer,PhD,9,3554600.0,62,2
Software Engineer,Bachelor's,5,1411000.0,62,0
Manager,PhD,12,9354500.0,43,2
HR,Bachelor's,0,499000.0,34,0
Manager,Master's,29,52151000.0,43,1
Software Engineer,PhD,2,1593100.0,62,2
Analyst,PhD,5,1695300.0,4,2
Data Scientist,PhD,3,2256900.0,22,2
Software Engineer,Master's,14,5082200.0,62,1
Manager,Master's,18,14993300.0,43,1
Data Scientist,Master's,3,1828900.0,22,1
Manager,Bachelor's,19,12916800.0,43,0
Data Scientist,Master's,5,2289500.0,22,1
HR,Master's,10,2017800.0,34,1
Manager,Bachelor's,5,2645900.0,43,0
Data Scientist,Master's,4,2050600.0,22,1
Software Engineer,PhD,4,2011200.0,62,2
Software Engineer,Bachelor's,8,1977200.0,62,0
Manager,Master's,16,11966400.0,43,1
HR,Master's,27,13862000.0,34,1
Analyst,PhD,2,1204700.0,4,2
Software Engineer,Master's,27,22177300.0,62,1
Software Engineer,Bachelor's,13,3491400.0,62,0
Analyst,Master's,2,980400.0,4,1
Manager,Master's,25,33148000.0,43,1
Analyst,Bachelor's,12,2346100.0,4,0
Manager,Bachelor's,5,2647600.0,43,0
Software Engineer,PhD,14,6246200.0,62,2
Data Scientist,Master's,20,12545200.0,22,1
Manager,PhD,18,18446600.0,43,2
Manager,Master's,19,16791100.0,43,1
HR,Bachelor's,19,4308800.0,34,0
HR,Master's,24,9874000.0,34,1
Software Engineer,Bachelor's,4,1256300.0,62,0
Analyst,Master's,1,875500.0,4,1
Data Scientist,Bachelor's,26,19038000.0,22,0
HR,PhD,14,3911000.0,34,2
Analyst,Bachelor's,23,8131700.0,4,0
HR,Bachelor's,14,2456100.0,34,0
Analyst,Bachelor's,1,672100.0,4,0
Analyst,Master's,10,2421900.0,4,1
Manager,Bachelor's,19,12910200.0,43,0
Data Scientist,Master's,10,4045100.0,22,1
Analyst,Master's,12,3043200.0,4,1
Manager,Bachelor's,23,20323800.0,43,0
HR,PhD,9,2215400.0,34,2
Software Engineer,Master's,18,8004100.0,62,1
HR,Master's,7,1435300.0,34,1
Data Scientist,Master's,3,1824100.0,22,1
Software Engineer,Bachelor's,21,8655800.0,62,0
HR,PhD,8,1983400.0,34,2
HR,Bachelor's,9,1381500.0,34,0
Software Engineer,Master's,10,3221800.0,62,1
Data Scientist,PhD,17,10989900.0,22,2
Manager,PhD,11,8348300.0,43,2
Manager,PhD,21,25929200.0,43,2
HR,Bachelor's,16,3058600.0,34,0
HR,PhD,10,2479600.0,34,2
Analyst,Bachelor's,16,3680800.0,4,0
Analyst,Master's,21,8439900.0,4,1
HR,Master's,22,7865500.0,34,1
Manager,PhD,23,32525100.0,43,2
HR,Bachelor's,12,1948800.0,34,0
HR,Master's,15,3554300.0,34,1
Manager,PhD,17,16479000.0,43,2
Data Scientist,Master's,27,27719500.0,22,1
Manager,PhD,3,3354000.0,43,2
Software Engineer,Bachelor's,22,9679500.0,62,0
Data Scientist,PhD,13,6984200.0,22,2
Data Scientist,Bachelor's,22,12099000.0,22,0
Software Engineer,PhD,2,1610800.0,62,2
Manager,PhD,28,57312700.0,43,2
HR,PhD,18,6157000.0,34,2
Software Engineer,PhD,7,2828500.0,62,2
Manager,Bachelor's,21,16203900.0,43,0
HR,Master's,22,7856900.0,34,1
Data Scientist,Bachelor's,14,4895900.0,22,0
HR,PhD,9,2216200.0,34,2
Analyst,Bachelor's,4,949600.0,4,0
Software Engineer,Master's,20,10033200.0,62,1
Analyst,Bachelor's,9,1663400.0,4,0
Manager,Master's,22,23593900.0,43,1
Manager,Bachelor's,13,6552000.0,43,0
Software Engineer,Master's,12,4045000.0,62,1
Manager,Master's,3,2737300.0,43,1
Data Scientist,Master's,28,31046300.0,22,1
Manager,Master's,17,13384900.0,43,1
HR,Master's,3,909400.0,34,1
HR,Bachelor's,5,881200.0,34,0
Data Scientist,PhD,20,15442200.0,22,2
Software Engineer,Bachelor's,6,1586900.0,62,0
Data Scientist,Bachelor's,16,6121200.0,22,0
Data Scientist,Master's,1,1449600.0,22,1
Analyst,Master's,10,2421400.0,4,1
Analyst,Bachelor's,26,11430100.0,4,0
Manager,Master's,1,2186600.0,43,1
HR,Bachelor's,25,8499400.0,34,0
Analyst,PhD,19,8269700.0,4,2
Software Engineer,Master's,26,19800300.0,62,1
HR,PhD,1,893600.0,34,2
Software Engineer,Bachelor's,7,1780000.0,62,0
Software Engineer,Bachelor's,24,12146700.0,62,0
Software Engineer,PhD,2,1613600.0,62,2
Manager,Master's,4,3073300.0,43,1
Software Engineer,Bachelor's,16,4901300.0,62,0
Data Scientist,Bachelor's,22,12096000.0,22,0
Manager,PhD,20,23151300.0,43,2
Software Engineer,PhD,4,2018300.0,62,2
Software Engineer,Master's,24,15788100.0,62,1
Analyst,PhD,26,18282600.0,4,2
HR,PhD,8,1981400.0,34,2
Manager,Master's,26,37127900.0,43,1
Analyst,PhD,2,1207600.0,4,2
Data Scientist,PhD,9,4443700.0,22,2
Manager,Bachelor's,1,1686500.0,43,0
Manager,Bachelor's,10,4665100.0,43,0
Analyst,PhD,14,4687200.0,4,2
Software Engineer,Bachelor's,21,8648200.0,62,0
HR,Master's,11,2253600.0,34,1
Data Scientist,PhD,2,2007500.0,22,2
Manager,PhD,6,4742500.0,43,2
Analyst,Bachelor's,29,16062900.0,4,0
Analyst,PhD,24,14568200.0,4,2
Data Scientist,Master's,24,19733700.0,22,1
Software Engineer,Master's,16,6365200.0,62,1
Manager,Bachelor's,13,6549200.0,43,0
Data Scientist,Master's,4,2043300.0,22,1
Software Engineer,Bachelor's,20,7716900.0,62,0
Software Engineer,Bachelor's,23,10843000.0,62,0
Analyst,PhD,25,16316800.0,4,2
Analyst,Master's,6,1543600.0,4,1
Manager,Master's,12,7596400.0,43,1
HR,PhD,21,8639800.0,34,2
HR,PhD,12,3114700.0,34,2
Data Scientist,PhD,23,21683200.0,22,2
HR,Bachelor's,21,5400100.0,34,0
Data Scientist,Master's,29,34769000.0,22,1
Software Engineer,PhD,2,1602100.0,62,2
Software Engineer,Bachelor's,3,1120400.0,62,0
HR,Master's,10,2017000.0,34,1
Analyst,Bachelor's,8,1488500.0,4,0
Manager,Bachelor's,1,1681400.0,43,0
Software Engineer,Bachelor's,10,2486400.0,62,0
Manager,Master's,23,26425900.0,43,1
Data Scientist,Master's,4,2046100.0,22,1
Analyst,Bachelor's,27,12777500.0,4,0
HR,PhD,25,13595700.0,34,2
Manager,Master's,7,4302600.0,43,1
Manager,Bachelor's,26,28562400.0,43,0
Manager,Bachelor's,12,5846500.0,43,0
Data Scientist,PhD,26,30468400.0,22,2
Analyst,PhD,4,1508700.0,4,2
Data Scientist,Master's,13,5668400.0,22,1
HR,Bachelor's,11,1740200.0,34,0
Software Engineer,PhD,1,1433800.0,62,2
Analyst,Bachelor's,2,750700.0,4,0
Data Scientist,Bachelor's,1,1116600.0,22,0
Analyst,PhD,29,25683800.0,4,2
Analyst,Master's,3,1099200.0,4,1
Manager,Bachelor's,11,5218500.0,43,0
Software Engineer,Master's,25,17676600.0,62,1
Manager,Master's,17,13398900.0,43,1
Analyst,Bachelor's,11,2083400.0,4,0
HR,PhD,0,799300.0,34,2
Manager,PhD,25,40790000.0,43,2
Data Scientist,Master's,13,5675900.0,22,1
Manager,Bachelor's,8,3713700.0,43,0
HR,Bachelor's,10,1558500.0,34,0
Manager,PhD,16,14719500.0,43,2
Analyst,Bachelor's,20,5778500.0,4,0
Data Scientist,Master's,14,6350400.0,22,1
Data Scientist,Bachelor's,2,1254800.0,22,0
Analyst,Master's,14,3810800.0,4,1
Analyst,PhD,7,2120200.0,4,2
HR,Bachelor's,7,1102900.0,34,0
Manager,Master's,17,13392000.0,43,1
Analyst,Bachelor's,23,8138100.0,4,0
Analyst,Master's,2,977600.0,4,1
Software Engineer,Master's,11,3611000.0,62,1
Analyst,Bachelor's,5,1054500.0,4,0
HR,Bachelor's,1,557700.0,34,0
Manager,Bachelor's,16,9193300.0,43,0
Manager,Bachelor's,24,22755800.0,43,0
Software Engineer,Master's,8,2574900.0,62,1
Software Engineer,Bachelor's,11,2780000.0,62,0
Software Engineer,Master's,14,5094600.0,62,1
Analyst,Bachelor's,9,1663700.0,4,0
Data Scientist,Bachelor's,1,1125100.0,22,0
Software Engineer,Bachelor's,19,6890700.0,62,0
Data Scientist,Master's,6,2566900.0,22,1
Data Scientist,Master's,14,6347900.0,22,1
Data Scientist,Master's,22,15732200.0,22,1
HR,PhD,26,15232700.0,34,2
Software Engineer,Master's,8,2575300.0,62,1
Data Scientist,Master's,27,27719100.0,22,1
Analyst,Master's,14,3812500.0,4,1
Data Scientist,Master's,25,22104800.0,22,1
Manager,PhD,8,5941200.0,43,2
Data Scientist,Master's,11,4516000.0,22,1
Analyst,Bachelor's,24,9105600.0,4,0
Analyst,Bachelor's,7,1328500.0,4,0
HR,PhD,20,7716900.0,34,2
Data Scientist,Master's,17,8936600.0,22,1
Manager,Master's,4,3062700.0,43,1
Manager,Bachelor's,28,35828600.0,43,0
Software Engineer,PhD,11,4458200.0,62,2
HR,Master's,19,5596900.0,34,1
Analyst,Master's,16,4794700.0,4,1
Data Scientist,Bachelor's,1,1122100.0,22,0
Analyst,Master's,14,3811100.0,4,1
Data Scientist,PhD,18,12308400.0,22,2
Data Scientist,Master's,28,31051700.0,22,1
HR,PhD,0,793700.0,34,2
Manager,Master's,7,4319100.0,43,1
Data Scientist,Master's,13,5664800.0,22,1
Data Scientist,PhD,4,2517500.0,22,2
Analyst,Bachelor's,14,2938100.0,4,0
Software Engineer,Master's,6,2051000.0,62,1
Software Engineer,Master's,2,1299000.0,62,1
HR,Bachelor's,0,497700.0,34,0
HR,PhD,14,3911400.0,34,2
Manager,Master's,2,2436500.0,43,1
HR,Master's,11,2257800.0,34,1
Software Engineer,Bachelor's,4,1262100.0,62,0
Software Engineer,Bachelor's,21,8636100.0,62,0
Analyst,Bachelor's,10,1867700.0,4,0
HR,Bachelor's,16,3071300.0,34,0
Analyst,PhD,14,4699500.0,4,2
Analyst,Master's,13,3415100.0,4,1
Data Scientist,Bachelor's,4,1572900.0,22,0
HR,PhD,4,1253600.0,34,2
Software Engineer,Bachelor's,18,6156600.0,62,0
Manager,Master's,22,23597300.0,43,1
Analyst,Master's,19,6714300.0,4,1
HR,Bachelor's,22,6052700.0,34,0
HR,Master's,4,1022300.0,34,1
Data Scientist,Bachelor's,25,16999900.0,22,0
Software Engineer,PhD,7,2832800.0,62,2
HR,Bachelor's,8,1238700.0,34,0
Data Scientist,Master's,27,27724100.0,22,1
Software Engineer,Bachelor's,8,1975200.0,62,0
Software Engineer,Bachelor's,8,1979500.0,62,0
Manager,Master's,28,46571000.0,43,1
Analyst,Master's,18,6001200.0,4,1
Software Engineer,PhD,18,9846700.0,62,2
HR,PhD,0,800600.0,34,2
Software Engineer,Bachelor's,14,3904500.0,62,0
Software Engineer,Master's,6,2042700.0,62,1
HR,Bachelor's,0,505400.0,34,0
Software Engineer,Bachelor's,2,1011700.0,62,0
Data Scientist,Master's,13,5677600.0,22,1
Software Engineer,PhD,20,12347600.0,62,2
Analyst,Bachelor's,28,14336000.0,4,0
Data Scientist,Bachelor's,11,3479000.0,22,0
Analyst,PhD,10,2975700.0,4,2
Data Scientist,PhD,10,4968100.0,22,2
Manager,PhD,14,11731000.0,43,2
Analyst,Bachelor's,12,2333800.0,4,0
HR,Bachelor's,19,4305000.0,34,0
Manager,Bachelor's,14,7342900.0,43,0
Data Scientist,Master's,17,8930700.0,22,1
Data Scientist,Bachelor's,12,3891100.0,22,0
Manager,PhD,11,8347400.0,43,2
Data Scientist,PhD,12,6230700.0,22,2
Software Engineer,Master's,28,24834700.0,62,1
Data Scientist,Master's,6,2563700.0,22,1
HR,Master's,14,3182400.0,34,1
Manager,Bachelor's,22,18151700.0,43,0
Analyst,Bachelor's,25,10211300.0,4,0
Software Engineer,PhD,9,3547200.0,62,2
Data Scientist,Bachelor's,25,16994700.0,22,0
Manager,Bachelor's,3,2111400.0,43,0
Analyst,PhD,9,2659400.0,4,2
Software Engineer,Master's,18,7993400.0,62,1
Data Scientist,Bachelor's,14,4897800.0,22,0
Software Engineer,PhD,11,4450800.0,62,2
Software Engineer,Master's,15,5694800.0,62,1
HR,PhD,2,1008300.0,34,2
Data Scientist,Bachelor's,13,4374500.0,22,0
HR,Bachelor's,24,7590900.0,34,0
Manager,PhD,20,23151100.0,43,2
Data Scientist,PhD,9,4445300.0,22,2
Software Engineer,PhD,6,2523700.0,62,2
Analyst,Master's,18,5989900.0,4,1
HR,Master's,3,918400.0,34,1
HR,Bachelor's,3,699600.0,34,0
Manager,Master's,8,4823100.0,43,1
Analyst,Bachelor's,16,3680700.0,4,0
Analyst,PhD,20,9265300.0,4,2
Data Scientist,PhD,21,17284900.0,22,2
Data Scientist,PhD,11,5558000.0,22,2
Data Scientist,Master's,16,7969500.0,22,1
Analyst,Master's,11,2713800.0,4,1
Data Scientist,Bachelor's,12,3902500.0,22,0
Data Scientist,Master's,29,34778400.0,22,1
Software Engineer,PhD,15,7006100.0,62,2
HR,PhD,27,17061800.0,34,2
Manager,Master's,4,3072700.0,43,1
Software Engineer,Bachelor's,29,21403800.0,62,0
HR,Master's,21,7023500.0,34,1
Software Engineer,Bachelor's,15,4377300.0,62,0
Analyst,Master's,19,6712600.0,4,1
Data Scientist,Bachelor's,20,9641800.0,22,0
Data Scientist,PhD,24,24276600.0,22,2
Analyst,Master's,22,9440800.0,4,1
Data Scientist,Master's,22,15732600.0,22,1
Analyst,Bachelor's,19,5165000.0,4,0
Data Scientist,PhD,16,9809000.0,22,2
Manager,Master's,23,26426600.0,43,1
Data Scientist,Master's,13,5675400.0,22,1
Analyst,Master's,8,1934200.0,4,1
HR,PhD,1,893800.0,34,2
Analyst,Master's,9,2160300.0,4,1
Software Engineer,Master's,24,15775900.0,62,1
Software Engineer,Master's,15,5691400.0,62,1
HR,PhD,2,998200.0,34,2
HR,Master's,7,1435400.0,34,1
HR,Master's,3,915700.0,34,1
Analyst,Bachelor's,13,2618400.0,4,0
Analyst,Master's,28,18630800.0,4,1
HR,PhD,29,21396000.0,34,2
Data Scientist,PhD,18,12309700.0,22,2
Data Scientist,Master's,24,19722100.0,22,1
Data Scientist,Master's,10,4040800.0,22,1
Software Engineer,PhD,18,9850000.0,62,2
Software Engineer,PhD,20,12345400.0,62,2
Manager,PhD,15,13133000.0,43,2
Analyst,Bachelor's,3,836600.0,4,0
HR,PhD,27,17063000.0,34,2
Analyst,Bachelor's,19,5172400.0,4,0
Data Scientist,PhD,4,2519800.0,22,2
Analyst,PhD,29,25673600.0,4,2
Manager,Master's,13,8515500.0,43,1
HR,Bachelor's,21,5400800.0,34,0
HR,Master's,22,7860000.0,34,1
Data Scientist,PhD,4,2512700.0,22,2
Analyst,PhD,20,9260300.0,4,2
Analyst,PhD,20,9254500.0,4,2
Analyst,Master's,7,1724100.0,4,1
Manager,Bachelor's,28,35821400.0,43,0
HR,Master's,12,2521000.0,34,1
Software Engineer,Bachelor's,16,4906600.0,62,0
Data Scientist,Bachelor's,0,1000800.0,22,0
Data Scientist,Master's,25,22104100.0,22,1
Analyst,PhD,22,11612700.0,4,2
Data Scientist,PhD,21,17292700.0,22,2
Analyst,PhD,23,13018100.0,4,2
HR,PhD,4,1259300.0,34,2
HR,Bachelor's,7,1114000.0,34,0
Software Engineer,PhD,10,3981000.0,62,2
Manager,Bachelor's,4,2363200.0,43,0
Analyst,Bachelor's,7,1319700.0,4,0
Manager,PhD,18,18451100.0,43,2
Manager,PhD,10,7460300.0,43,2
Data Scientist,Master's,14,6342200.0,22,1
Analyst,Bachelor's,7,1329400.0,4,0
Data Scientist,PhD,17,10992200.0,22,2
Manager,Bachelor's,3,2114000.0,43,0
Software Engineer,Bachelor's,25,13602800.0,62,0
Data Scientist,Master's,20,12539800.0,22,1
Data Scientist,Master's,12,5059400.0,22,1
HR,PhD,15,4381500.0,34,2
Manager,Master's,14,9535200.0,43,1
Software Engineer,Master's,22,12583100.0,62,1
Analyst,Master's,24,11835400.0,4,1
Data Scientist,Master's,19,11194200.0,22,1
Manager,Master's,16,11952600.0,43,1
HR,PhD,25,13601600.0,34,2
Software Engineer,Bachelor's,14,3911000.0,62,0
Data Scientist,Bachelor's,12,3897800.0,22,0
Analyst,PhD,21,10379700.0,4,2
Manager,Bachelor's,21,16214400.0,43,0
Data Scientist,Bachelor's,20,9647800.0,22,0
Analyst,PhD,17,6591600.0,4,2
Analyst,Bachelor's,21,6474800.0,4,0
Manager,Bachelor's,28,35829100.0,43,0
Manager,PhD,28,57328500.0,43,2
Analyst,PhD,24,14568400.0,4,2
Data Scientist,Master's,15,7118000.0,22,1
Software Engineer,Bachelor's,2,1010000.0,62,0
Manager,Bachelor's,9,4157500.0,43,0
HR,Master's,6,1290700.0,34,1
HR,Bachelor's,19,4311100.0,34,0
Analyst,Master's,9,2159100.0,4,1
Data Scientist,Bachelor's,24,15181900.0,22,0
Analyst,PhD,15,5252400.0,4,2
Manager,Bachelor's,25,25496000.0,43,0
Analyst,PhD,28,22934600.0,4,2
Manager,Master's,4,3071500.0,43,1
HR,Master's,7,1435000.0,34,1
HR,Bachelor's,22,6048100.0,34,0
Analyst,Bachelor's,13,2615400.0,4,0
Data Scientist,PhD,19,13781900.0,22,2
Analyst,Master's,23,10576000.0,4,1
Analyst,PhD,16,5888100.0,4,2
Manager,Master's,23,26432700.0,43,1
HR,PhD,3,1120700.0,34,2
Manager,Bachelor's,3,2109200.0,43,0
Software Engineer,Master's,19,8954400.0,62,1
Software Engineer,PhD,27,27296800.0,62,2
Software Engineer,Master's,3,1464000.0,62,1
Analyst,PhD,26,18282700.0,4,2
Data Scientist,Bachelor's,24,15183000.0,22,0
Analyst,Bachelor's,9,1664600.0,4,0
HR,PhD,20,7708200.0,34,2
Manager,Master's,2,2451200.0,43,1
HR,Bachelor's,19,4305400.0,34,0
Software Engineer,Bachelor's,9,2219200.0,62,0
Data Scientist,Master's,6,2567600.0,22,1
Data Scientist,PhD,0,1598600.0,22,2
Analyst,Bachelor's,3,838000.0,4,0
HR,Master's,23,8808500.0,34,1
Analyst,PhD,2,1203200.0,4,2
Analyst,Master's,23,10570500.0,4,1
Data Scientist,Bachelor's,12,3897200.0,22,0
Analyst,Bachelor's,12,2342900.0,4,0
HR,Master's,0,660200.0,34,1
Manager,PhD,5,4230900.0,43,2
HR,Master's,25,11050500.0,34,1
Analyst,Master's,24,11841400.0,4,1
HR,PhD,22,9680200.0,34,2
Data Scientist,Bachelor's,23,13546000.0,22,0
HR,Bachelor's,28,11936600.0,34,0
Software Engineer,Bachelor's,17,5489800.0,62,0
Software Engineer,PhD,21,13837100.0,62,2
Software Engineer,Bachelor's,23,10840400.0,62,0
Software Engineer,Bachelor's,1,896800.0,62,0
Data Scientist,Bachelor's,9,2775300.0,22,0
Data Scientist,PhD,28,38218700.0,22,2
Analyst,PhD,7,2120700.0,4,2
Manager,PhD,16,14708900.0,43,2
HR,Master's,3,913800.0,34,1
HR,PhD,21,8651200.0,34,2
Analyst,Master's,26,14851700.0,4,1
Analyst,Master's,16,4784900.0,4,1
